id,kode_provinsi,nama_provinsi,tipe_wilayah,nama_wilayah,kekerasan_fisik,kekerasan_psikis,kekerasan_seksual,eksploitasi,tppo,penelantaran,kekerasan_lainnya,total_kasus,kategori_risiko
50,SULTRA,SULAWESI TENGGARA,KABUPATEN,WAKATOBI,2,2,12,0,0,1,0,17,RENDAH
51,SULTRA,SULAWESI TENGGARA,KABUPATEN,KOLAKA UTARA,6,1,14,0,0,0,0,21,SEDANG
52,SULTRA,SULAWESI TENGGARA,KABUPATEN,BUTON UTARA,11,1,11,1,0,0,0,24,SEDANG
53,SULTRA,SULAWESI TENGGARA,KABUPATEN,KONAWE UTARA,1,0,6,0,0,0,0,7,RENDAH
54,SULTRA,SULAWESI TENGGARA,KABUPATEN,KOLAKA TIMUR,1,0,2,0,0,0,0,3,RENDAH
55,SULTRA,SULAWESI TENGGARA,KABUPATEN,KONAWE KEPULAUAN,1,0,3,0,0,0,0,4,RENDAH
56,SULTRA,SULAWESI TENGGARA,KABUPATEN,MUNA BARAT,21,0,4,0,0,0,0,25,SEDANG
57,SULTRA,SULAWESI TENGGARA,KABUPATEN,BUTON TENGAH,5,5,13,0,0,0,0,23,SEDANG
58,SULTRA,SULAWESI TENGGARA,KABUPATEN,BUTON SELATAN,9,5,12,0,0,0,1,27,SEDANG
59,SULTRA,SULAWESI TENGGARA,KOTA,KENDARI,9,3,23,1,3,3,9,51,TINGGI
60,SULTRA,SULAWESI TENGGARA,KOTA,BAUBAU,10,0,21,0,0,4,2,37,SEDANG
61,SULUT,SULAWESI UTARA,KABUPATEN,BOLAANG MONGONDOW,14,1,39,0,0,2,8,64,TINGGI
62,SULUT,SULAWESI UTARA,KABUPATEN,MINAHASA,1,4,38,0,0,5,13,61,TINGGI
63,SULUT,SULAWESI UTARA,KABUPATEN,KEPULAUAN SANGIHE,7,10,23,0,0,1,1,42,SEDANG
64,SULUT,SULAWESI UTARA,KABUPATEN,KEPULAUAN TALAUD,0,0,7,0,1,0,0,8,RENDAH
65,SULUT,SULAWESI UTARA,KABUPATEN,MINAHASA SELATAN,4,0,17,0,2,4,3,30,SEDANG
66,SULUT,SULAWESI UTARA,KABUPATEN,MINAHASA UTARA,8,9,31,0,2,9,13,72,TINGGI
67,SULUT,SULAWESI UTARA,KABUPATEN,BOLAANG MONGONDOW UTARA,11,2,22,0,0,2,0,37,SEDANG
68,SULUT,SULAWESI UTARA,KABUPATEN,SIAU TAGULANDANG BIARO,5,13,30,0,0,2,0,50,TINGGI
69,SULUT,SULAWESI UTARA,KABUPATEN,MINAHASA TENGGARA,6,1,7,0,1,4,0,19,RENDAH
70,SULUT,SULAWESI UTARA,KABUPATEN,BOLAANG MONGONDOW SELATAN,3,0,17,2,1,0,2,25,SEDANG
71,SULUT,SULAWESI UTARA,KABUPATEN,BOLAANG MONGONDOW TIMUR,18,5,43,0,0,5,5,76,TINGGI
72,SULUT,SULAWESI UTARA,KOTA,MANADO,32,28,44,1,4,29,48,186,TINGGI
73,SULUT,SULAWESI UTARA,KOTA,BITUNG,15,8,29,0,6,23,26,107,TINGGI
74,SULUT,SULAWESI UTARA,KOTA,TOMOHON,1,1,7,0,0,2,6,17,RENDAH
75,SULUT,SULAWESI UTARA,KOTA,KOTAMOBAGU,27,3,28,0,0,5,14,77,TINGGI
